cage and leaving little red 43
cake and wine before them 79
cake with cream cheese icing 155
calf had been killed for 85
call each other brother and 1201
call for help before you 46
call for land reform and 116
call for more brains and 155
call for more police and 52
call for more troops and 58
call for much thought and 101
call for those chiefs that 40
call for three cheers for 802
call for work reached him 55
call for your degree and 56
call had been issued for 180
call had been placed and 48
call had come through for 99
call has been issued for 144
call her your sister than 47
call him their friend and 40
call his acts murder was 73
call not upon another god 70
call off their strike and 72
call out from behind him 43
call them back before they 53
call this high treason and 152
call was from someone who 43
calm her down before she 195
calm that must follow all 135
came all fell before him 106
came and fell before him 45
came and held before him 95
came and took refuge with 45
came and went across her 77
came and went across his 240
came and went around her 65
came and went around him 107
came and went around them 99
came and went before her 113
came and went before him 118
came and went before his 102
came and went before she 91
came and went before they 69
came and went faster than 62
came and went freely and 82
came and went freely for 58
came and went through all 60
came and went through her 116
came and went through his 206
came and went through its 49
came and went through our 56
came and went through that 99
came and went through this 69
came and went without any 1950
came and went without being 132
came and went without fear 137
came and went without her 161
came and went without him 93
came and went without his 221
came and went without its 52
came and went without our 65
came and went without too 44
came both from without and 51
came near when dorothy was 83
came not from abroad but 40
came not from africa but 58
came not from england but 136
came not from europe but 141
came not from france but 131
came not from london but 54
came not from moscow but 46
came not from without but 128
came not into common use 54
came off even better than 45
came off much better than 211
came one there booted and 45
came out even better than 42
came out from amongst them 53
came out from behind her 854
came out from behind him 73
came out from behind his 2626
came out from behind its 91
came out from behind one 150
came out from behind that 136
came out from behind them 97
came out from boston and 61
came out from boston with 122
came out from dinner and 52
came out from england and 300
came out from england for 120
came out from england with 341
came out from france with 81
came out from london and 41
came out more clearly than 105
came out much better than 214
came out much louder than 57
came out very clearly that 86
came that fort sumter had 104
came thus into fashion with 63
came two years before that 41
came with evil intent and 42
came with much credit out 44
came with their brooms and 55
came with their cattle and 88
came with their drinks and 40
came with their fathers and 47
came with their flocks and 70
came with their horses and 101
came with their mothers and 49
came with their slaves and 40
came with their squaws and 51
camp and gave orders for 54
camp had been formed near 86
camp had been marked out 92
camp had been struck and 90
camp was more active than 92
camp was soon filled with 58
cams and four valves per 53
cane and beet sugars are 98
cane was seen whirling out 45
cans had been filled with 61
cant any more sacred than 40
caps had been pulled off 62
caps was hard behind him 85
card had been played and 58
card has been filled out 139
care and pain seemed for 52
care are more likely than 131
care but very little for 113
care for life without you 66
care for such honors and 198
care for their babies and 476
care for their babies for 86
care for their bodies and 588
care for their elders and 99
care for their family and 229
care for their fellow man 135
care for their fellow men 111
care for their flocks and 105
care for their horses and 212
care for their houses and 40
care for their infant and 46
care for their infant son 46
care for their mothers and 50
care for their safety and 368
care for their widows and 103
