babe and lambkin at her 51
baby had started to cry 102
baby lay smothering in its 100
baby she carried in her 127
baby she carries in her 49
baby was beginning to cry 45
baby was brought in and 51
baby was brought in for 55
baby was brought to her 230
baby was brought to him 65
baby who carried on her 42
back and appeared to rub 87
back and assured me that 116
back and brought up his 124
back and brought up two 40
back and checked to see 97
back and climbed on top 270
back and collect at that 43
back and compare it with 178
back and compare the two 119
back and covered it with 252
back and decided it was 103
back and devoted to god 76
back and discuss it with 267
back and dropped to her 91
back and dropped to his 102
back and enjoyed it all 40
back and exchange it for 353
back and explain to her 43
back and extends to his 45
back and flooded me with 68
back and focused on her 46
back and forward as they 54
back and forward as with 86
back and forward in her 47
back and forward in his 128
back and forward on his 94
back and forward on its 45
back and forward on this 55
back and forward to and 45
back and frowned at her 150
back and frowned at him 59
back and glanced at her 188
back and glanced at him 40
back and glanced at his 234
back and grabbed my arm 106
back and grinned at her 400
back and grinned at him 279
back and grinned at his 48
back and laughed as she 65
back and laughed at her 242
back and laughed at him 309
back and laughed at his 187
back and managed to get 304
back and managed to say 57
back and noticed the man 43
back and offered to buy 45
back and pistols in his 67
back and pointed the gun 155
back and pointed to his 129
back and realized he was 107
back and realized it was 42
back and reflect on all 50
back and reflect on her 48
back and reflect on his 146
back and reflect on how 385
back and reflect on our 138
back and reflect on this 68
back and refused to let 92
back and relaxed in his 53
back and replace it with 223
back and restore to them 55
back and retired to his 120
back and returns to his 48
back and secured it with 269
back and settled in for 52
back and settled in his 40
back and settled on her 49
back and shouted at him 106
back and snapped at him 112
back and sniffed the air 244
back and started on his 100
back and started the car 99
back and started to cry 146
back and started to get 315
back and started to read 141
back and started to run 238
back and started to say 44
back and studied the man 107
back and studied the sky 46
back and watched as her 59
back and watched as his 191
back and watched as she 494
back and watched as they 242
back and watched in awe 87
back and watched it all 163
back and watched the car 166
back and watched the man 111
back and watched the men 85
back and watched the old 94
